,id,school,abbreviation,nickname,mascot,full_name,classification,conference_id,conference,conference_division,home_venue_id,home_venue,venue_capacity,city,state,zip,country_code,location,elevation,wins,losses,enrollment,first_year,top_receiver_yards,smallest_venue_rank,largest_venue_rank,elevation_rank,wins_rank,losses_rank,enrollment_rank,oldest_rank,top_receiver_yards_rank,color,logo
0,164,Rutgers,RUTG,Rutgers,Scarlet Knights,Rutgers Scarlet Knights,fbs,5,Big Ten,,6577,SHI Stadium,52454,Piscataway,NJ,8854,US,"(40.5462553,-74.4660408)",52.0,681,701,"50,804",1869,3043,86,51,107,43,3,12,1,89,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
1,77,Northwestern,NU,Northwestern,Wildcats,Northwestern Wildcats,fbs,5,Big Ten,,3911,Ryan Field,47130,Evanston,IL,60208,US,"(42.0653994,-87.6924751)",181.2376099,571,712,"23,410",1876,3128,74,63,75,89,2,81,2,77,#582c83,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
2,245,Texas A&M,TA&M,Texas A&M,Aggies,Texas A&M Aggies,fbs,8,SEC,,3795,Kyle Field,102733,College Station,TX,77843,US,"(30.6098891,-96.3403828)",108.824585,789,509,"74,014",1876,3117,133,4,94,15,69,1,3,82,#500000,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
3,113,Massachusetts,MASS,Massachusetts,Minutemen,Massachusetts Minutemen,fbs,15,Mid-American,,3985,Warren McGuirk Alumni Stadium,17000,Hadley,MA,1003,US,"(42.3773244,-72.5360595)",46.58664703,582,652,"30,285",1879,3526,5,132,108,79,13,56,4,55,#971B2F,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
4,130,Michigan,MICH,Michigan,Wolverines,Michigan Wolverines,fbs,5,Big Ten,,3558,Michigan Stadium,107601,Ann Arbor,MI,48109,US,"(42.2658365,-83.7486956)",255.5500031,"1,015",359,"50,278",1879,3541,136,1,44,1,114,14,5,51,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
5,2426,Navy,NAVY,Navy,Midshipmen,Navy Midshipmen,fbs,151,American Athletic,,3852,Navy-Marine Corps Memorial Stadium,34000,Annapolis,MD,21402,US,"(38.9846985,-76.5076335)",10.74990082,751,603,"4,576",1879,1994,49,88,125,23,33,133,6,129,#00225b,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
6,96,Kentucky,UK,Kentucky,Wildcats,Kentucky Wildcats,fbs,8,SEC,,3683,Kroger Field,61000,Lexington,KY,40506,US,"(38.0220905,-84.5053408)",307.4248962,649,656,"33,885",1881,2889,98,39,31,51,12,48,7,105,#0033a0,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
7,213,Penn State,PSU,Penn State,Nittany Lions,Penn State Nittany Lions,fbs,5,Big Ten,,3632,Beaver Stadium,106572,University Park,PA,16802,US,"(40.8121958,-77.8561023)",354.1551514,946,412,"39,368",1881,3026,135,2,26,7,107,32,8,91,#041E42,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
8,25,California,CAL,California,Golden Bears,California Golden Bears,fbs,1,ACC,,3831,California Memorial Stadium,62467,Berkeley,CA,94720,US,"(37.8710434,-122.2507729)",125.3108063,701,576,"45,307",1882,3188,102,35,90,38,43,26,9,73,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
9,135,Minnesota,MINN,Minnesota,Golden Gophers,Minnesota Golden Gophers,fbs,5,Big Ten,,3953,Huntington Bank Stadium,50850,Minneapolis,MN,55488,US,"(44.976525,-93.2245462)",254.3902283,743,549,"54,890",1882,3119,82,55,46,26,52,8,10,81,#5e0a2f,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
10,251,Texas,TEX,Texas,Longhorns,Texas Longhorns,fbs,8,SEC,,3910,DKR-Texas Memorial Stadium,100119,Austin,TX,78712,US,"(30.2836813,-97.7325345)",160.3089447,963,396,"52,384",1883,3866,129,8,81,4,109,9,11,25,#c15d26,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
11,2132,Cincinnati,CIN,Cincinnati,Bearcats,Cincinnati Bearcats,fbs,4,Big 12,,3854,Nippert Stadium,40000,Cincinnati,OH,45221,US,"(39.1312495,-84.5161913)",230.0660553,666,615,"50,921",1885,3003,58,77,54,47,25,11,12,92,#E00122,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
12,127,Michigan State,MSU,Michigan St,Spartans,Michigan State Spartans,fbs,5,Big Ten,,3936,Spartan Stadium,75005,East Lansing,MI,48824,US,"(42.7281474,-84.4848526)",254.8794861,738,494,"49,659",1885,3086,115,22,45,29,76,17,13,86,#18453b,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
13,84,Indiana,IU,Indiana,Hoosiers,Indiana Hoosiers,fbs,5,Big Ten,,3830,"Memorial Stadium (Bloomington, IN)",52656,Bloomington,IN,47408,US,"(39.1808959,-86.5256217)",231.6500854,521,715,"45,328",1887,2740,87,50,53,103,1,25,14,115,#990000,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
14,87,Notre Dame,ND,Notre Dame,Fighting Irish,Notre Dame Fighting Irish,fbs,18,FBS Independents,,3855,Notre Dame Stadium,80795,Notre Dame,IN,46556,US,"(41.698378,-86.2339425)",222.645401,962,341,"12,809",1887,3686,121,16,56,5,118,120,15,36,#0c2340,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
15,2509,Purdue,PUR,Purdue,Boilermakers,Purdue Boilermakers,fbs,5,Big Ten,,3907,Ross-Ade Stadium,57282,West Lafayette,IN,47907,US,"(40.4352253,-86.9186843)",197.5337677,644,609,"52,211",1887,3618,91,46,67,56,27,10,16,43,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
16,258,Virginia,UVA,Virginia,Cavaliers,Virginia Cavaliers,fbs,1,ACC,,3923,Scott Stadium,61500,Charlottesville,VA,22904,US,"(38.0311801,-78.5137897)",170.4677429,690,650,"25,944",1887,2978,100,36,77,40,14,70,17,95,#232d4b,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
17,150,Duke,DUKE,Duke,Blue Devils,Duke Blue Devils,fbs,1,ACC,,3982,Wallace Wade Stadium,40004,Durham,NC,27708,US,"(35.9953688,-78.9417564)",103.0028152,548,562,"16,780",1888,3749,61,76,95,95,48,103,18,29,#013088,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
18,120,Maryland,MD,Maryland,Terrapins,Maryland Terrapins,fbs,5,Big Ten,,3665,SECU Stadium,51802,College Park,MD,20742,US,"(38.9903332,-76.9473792)",32.68748093,684,632,"40,813",1888,2932,85,52,113,42,19,30,19,101,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
19,193,Miami (OH),M-OH,Miami OH,RedHawks,Miami (OH) RedHawks,fbs,15,Mid-American,,3996,Yager Stadium,24286,Oxford,OH,45056,US,"(39.5197009,-84.7330255)",242.2643585,733,491,"16,748",1888,3697,17,120,49,31,78,105,20,34,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png
20,153,North Carolina,UNC,North Carolina,Tar Heels,North Carolina Tar Heels,fbs,1,ACC,,3787,Kenan Stadium,50500,Chapel Hill,NC,27515,US,"(35.9069294,-79.0478889)",127.7569809,737,577,"31,705",1888,2912,80,57,87,30,42,53,21,103,#7bafd4,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
21,30,USC,USC,USC,Trojans,USC Trojans,fbs,5,Big Ten,,477,Los Angeles Memorial Coliseum,77500,Los Angeles,CA,90089,US,"(34.014167,-118.287778)",42.50374222,885,374,"48,945",1888,3655,116,21,110,10,112,20,22,38,#9e2237,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
22,154,Wake Forest,WAKE,Wake Forest,Demon Deacons,Wake Forest Demon Deacons,fbs,1,ACC,,3630,Allegacy Federal Credit Union Stadium,31500,Winston-Salem,NC,27105,US,"(36.1305507,-80.2545851)",283.548584,498,694,"8,963",1888,2974,46,91,35,109,4,129,23,96,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
23,48,Delaware,DEL,Delaware,Fightin' Blue Hens,Delaware Fightin' Blue Hens,fbs,12,Conference USA,,3695,Delaware Stadium,22000,Newark,DE,19713,US,"(39.6617428,-75.7488224)",28.74350357,741,486,"24,221",1889,877,10,127,114,27,81,76,24,134,#033594,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png
24,2294,Iowa,IOWA,Iowa,Hawkeyes,Iowa Hawkeyes,fbs,5,Big Ten,,3793,Kinnick Stadium,69250,Iowa City,IA,52242,US,"(41.6586045,-91.5510829)",220.6357727,703,582,"30,015",1889,2861,111,26,57,36,38,58,25,107,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
25,194,Ohio State,OSU,Ohio State,Buckeyes,Ohio State Buckeyes,fbs,5,Big Ten,,3861,Ohio Stadium,102780,Columbus,OH,43210,US,"(40.0016447,-83.0197266)",216.6770325,990,337,"60,046",1889,2868,134,3,59,2,119,3,26,106,#ce1141,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
26,183,Syracuse,SYR,Syracuse,Orange,Syracuse Orange,fbs,1,ACC,,1964,JMA Wireless Dome,49057,Syracuse,NY,13244,US,"(43.0362269,-76.1363161)",162.6989746,755,581,"22,698",1889,2891,75,62,80,22,40,84,27,104,#ff6500,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
27,264,Washington,WASH,Washington,Huskies,Washington Huskies,fbs,5,Big Ten,,3765,Husky Stadium,70138,Seattle,WA,98195,US,"(47.6503235,-122.3015746)",11.65622807,783,474,"49,025",1889,3536,113,24,123,17,85,19,28,52,#33006f,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
28,275,Wisconsin,WIS,Wisconsin,Badgers,Wisconsin Badgers,fbs,5,Big Ten,,347,Camp Randall Stadium,80321,Madison,WI,53711,US,"(43.06994,-89.4126943)",263.604126,749,526,"49,886",1889,3382,120,17,43,24,66,15,29,65,#c4012f,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
29,349,Army,ARMY,Army,Black Knights,Army Black Knights,fbs,151,American Athletic,,3841,Michie Stadium,38000,West Point,NY,10996,US,"(41.3874924,-73.9640891)",99.21277618,740,548,"4,393",1890,2330,55,82,97,28,53,134,30,126,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
30,38,Colorado,COLO,Colorado,Buffaloes,Colorado Buffaloes,fbs,4,Big 12,,3726,Folsom Field,50183,Boulder,CO,80309,US,"(40.0094746,-105.266905)",1634.041138,733,550,"37,153",1890,3634,78,59,4,32,50,39,31,42,#CFB87C,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
31,36,Colorado State,CSU,Colorado St,Rams,Colorado State Rams,fbs,17,Mountain West,,5388,Canvas Stadium,36500,Fort Collins,CO,80521,US,"(40.570015,-105.088435)",1528.4,548,622,"27,956",1890,3649,53,84,6,96,22,65,32,39,#1e4d2b,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
32,356,Illinois,ILL,Illinois,Fighting Illini,Illinois Fighting Illini,fbs,5,Big Ten,,3832,"Memorial Stadium (Champaign, IL)",60670,Champaign,IL,61820,US,"(40.0993268,-88.2359569)",223.2471619,645,628,"56,403",1890,4038,97,40,55,55,20,5,33,16,#ff5f05,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
33,2305,Kansas,KU,Kansas,Jayhawks,Kansas Jayhawks,fbs,4,Big 12,,3833,Memorial Stadium,47000,Lawrence,KS,66045,US,"(38.9629418,-95.2463686)",274.855957,612,687,"26,708",1890,3636,71,65,39,70,5,67,34,41,#0051ba,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
34,142,Missouri,MIZ,Missouri,Tigers,Missouri Tigers,fbs,8,SEC,,3838,Memorial Stadium,71168,Columbia,MO,65211,US,"(38.9358491,-92.3332009)",212.6865692,724,593,"31,041",1890,2778,114,23,60,34,34,54,35,113,#f1b82d,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
35,158,Nebraska,NEB,Nebraska,Cornhuskers,Nebraska Cornhuskers,fbs,5,Big Ten,,3834,"Memorial Stadium (Lincoln, NE)",85458,Lincoln,NE,68588,US,"(40.820682,-96.705594)",354.9318848,927,430,"24,431",1890,2747,123,14,25,8,103,75,36,114,#d00000,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
36,221,Pittsburgh,PITT,Pitt,Panthers,Pittsburgh Panthers,fbs,1,ACC,,3752,Acrisure Stadium,68400,Pittsburgh,PA,15260,US,"(40.4467648,-80.0157603)",220.5887146,770,567,"29,533",1890,3361,110,27,58,19,46,61,37,67,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
37,238,Vanderbilt,VAN,Vanderbilt,Commodores,Vanderbilt Commodores,fbs,8,SEC,,3973,FirstBank Stadium,40351,Nashville,TN,37212,US,"(36.1440455,-86.8088942)",159.9194641,628,671,"13,710",1890,3759,62,75,82,64,10,117,38,28,#866d4b,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
38,2006,Akron,AKR,Akron,Zips,Akron Zips,fbs,15,Mid-American,,3768,InfoCision Stadium,30000,Akron,OH,44399,US,"(41.0725534,-81.5083408)",321.2875061,529,604,"12,349",1891,2653,31,101,30,101,32,121,39,119,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
39,2199,Eastern Michigan,EMU,E Michigan,Eagles,Eastern Michigan Eagles,fbs,15,Mid-American,,3912,Rynearson Stadium,30200,Ypsilanti,MI,48197,US,"(42.256126,-83.647285)",241.248764,495,633,"15,340",1891,3245,37,99,50,111,18,111,40,70,#00331b,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
40,24,Stanford,STAN,Stanford,Cardinal,Stanford Cardinal,fbs,1,ACC,,3940,Stanford Stadium,50424,Stanford,CA,94305,US,"(37.4345556,-122.1611271)",18.38425636,674,507,"18,283",1891,3986,79,58,121,45,70,101,41,19,#8c1515,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
41,2633,Tennessee,TENN,Tennessee,Volunteers,Tennessee Volunteers,fbs,8,SEC,,3853,Neyland Stadium,102455,Knoxville,TN,37996,US,"(35.9550131,-83.9250128)",271.9517212,877,418,"36,304",1891,2814,132,5,41,11,106,43,42,110,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
42,277,West Virginia,WVU,West Virginia,Mountaineers,West Virginia Mountaineers,fbs,4,Big 12,,3842,Milan Puskar Stadium,60000,Morgantown,WV,26507,US,"(39.6502744,-79.9551873)",327.409668,789,534,"24,741",1891,3413,94,42,28,16,61,74,43,61,#002855,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
43,333,Alabama,ALA,Alabama,Crimson Tide,Alabama Crimson Tide,fbs,8,SEC,,3657,Bryant-Denny Stadium,101821,Tuscaloosa,AL,35487,US,"(33.2082752,-87.5503836)",70.05136108,985,342,"38,320",1892,3965,130,7,101,3,117,33,44,20,#9e1632,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
44,2,Auburn,AUB,Auburn,Tigers,Auburn Tigers,fbs,8,SEC,,3785,Jordan-Hare Stadium,87451,Auburn,AL,36849,US,"(32.6025532,-85.4897479)",201.1737976,807,478,"33,015",1892,2507,125,12,64,14,83,50,45,124,#002b5c,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
45,61,Georgia,UGA,Georgia,Bulldogs,Georgia Bulldogs,fbs,8,SEC,,3917,Sanford Stadium,92746,Athens,GA,30602,US,"(33.9498197,-83.3733813)",186.1120758,895,432,"41,615",1892,3093,128,9,71,9,102,29,46,85,#ba0c2f,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
46,59,Georgia Tech,GT,Georgia Tech,Yellow Jackets,Georgia Tech Yellow Jackets,fbs,1,ACC,,721,Bobby Dodd Stadium,55000,Atlanta,GA,30332,US,"(33.7724449,-84.3928054)",279.300415,766,546,"47,961",1892,2927,89,48,36,21,56,21,47,102,#003057,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
47,66,Iowa State,ISU,Iowa State,Cyclones,Iowa State Cyclones,fbs,4,Big 12,,3772,Jack Trice Stadium,61500,Ames,IA,50011,US,"(42.0139977,-93.6357716)",274.9135437,581,681,"30,177",1892,3096,101,37,38,81,6,57,48,84,#822433,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
48,152,NC State,NCSU,NC State,Wolfpack,NC State Wolfpack,fbs,1,ACC,,3670,Carter-Finley Stadium,58000,Raleigh,NC,27695,US,"(35.8008001,-78.7195655)",117.0089951,647,606,"37,873",1892,3379,92,45,92,52,31,36,49,66,#cc0000,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
49,167,New Mexico,UNM,New Mexico,Lobos,New Mexico Lobos,fbs,17,Mountain West,,3971,University Stadium (NM),39224,Albuquerque,NM,87131,US,"(35.0669479,-106.6283225)",1554.471924,506,648,"25,441",1892,4254,57,80,5,104,15,72,50,11,#BA0C2F,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
50,23,San José State,SJSU,San José St,Spartans,San José State Spartans,fbs,17,Mountain West,,3935,CEFCU Stadium,30456,San Jose,CA,95112,US,"(37.3196675,-121.8682962)",28.30708694,524,547,"35,751",1892,3121,43,94,115,102,55,44,51,80,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png
51,2579,South Carolina,SC,South Carolina,Gamecocks,South Carolina Gamecocks,fbs,8,SEC,,3994,Williams-Brice Stadium,80250,Columbia,SC,29208,US,"(33.9730239,-81.0191726)",60.54548645,646,617,"36,538",1892,4121,119,18,106,54,24,42,52,14,#73000a,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
52,254,Utah,UTAH,Utah,Utes,Utah Utes,fbs,4,Big 12,,587,Rice-Eccles Stadium,51444,Salt Lake City,UT,84112,US,"(40.7599724,-111.8488255)",1411.543579,727,489,"34,705",1892,3143,83,54,9,33,80,45,53,75,#ea002a,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
53,328,Utah State,USU,Utah State,Aggies,Utah State Aggies,fbs,17,Mountain West,,3905,Maverik Stadium,25513,Logan,UT,84322,US,"(41.7517394,-111.8116007)",1427.914429,579,576,"29,968",1892,2943,24,113,7,86,44,59,54,99,#00263a,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
54,259,Virginia Tech,VT,Virginia Tech,Hokies,Virginia Tech Hokies,fbs,1,ACC,,3799,Lane Stadium,65632,Blacksburg,VA,24061,US,"(37.2199873,-80.4180643)",632.2631226,778,515,"38,170",1892,3027,107,30,19,18,67,35,55,90,#630031,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
55,103,Boston College,BC,Boston College,Eagles,Boston College Eagles,fbs,1,ACC,,3615,"Alumni Stadium (Chestnut Hill, MA)",44500,Chestnut Hill,MA,2467,US,"(42.335104,-71.1664413)",39.82634354,702,533,"15,106",1893,3056,67,70,111,37,62,112,56,88,#8c2232,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
56,99,LSU,LSU,LSU,Tigers,LSU Tigers,fbs,8,SEC,,3958,Tiger Stadium (LA),102321,Baton Rouge,LA,70803,US,"(30.412035,-91.1838163)",7.640734673,818,438,"37,354",1893,3003,131,6,127,12,99,38,57,93,#461d7c,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
57,166,New Mexico State,NMSU,New Mexico St,Aggies,New Mexico State Aggies,fbs,12,Conference USA,,3601,Aggie Memorial Stadium,28853,Las Cruces,NM,88003,US,"(32.2796202,-106.7411148)",1208.201294,460,681,"14,779",1893,3565,28,109,11,115,7,115,58,49,#891216,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png
58,145,Ole Miss,MISS,Ole Miss,Rebels,Ole Miss Rebels,fbs,8,SEC,,3974,Vaught-Hemingway Stadium,64038,Oxford,MS,38677,US,"(34.3619837,-89.5342076)",146.8517151,688,550,"21,596",1893,3532,104,33,85,41,51,90,59,53,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
59,204,Oregon State,ORST,Oregon St,Beavers,Oregon State Beavers,fbs,9,Pac-12,,3893,Reser Stadium,43363,Corvallis,OR,97331,US,"(44.5594559,-123.2814341)",66.90744781,569,639,"37,121",1893,3924,65,72,102,92,17,40,60,23,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
60,2655,Tulane,TULN,Tulane,Green Wave,Tulane Green Wave,fbs,151,American Athletic,,4729,Yulman Stadium,30000,New Orleans,LA,70118,US,"(29.944616,-90.116692)",1.18e-38,577,677,"14,472",1893,3725,32,102,136,87,8,116,61,30,#006547,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
61,265,Washington State,WSU,Washington St,Cougars,Washington State Cougars,fbs,9,Pac-12,,3820,Gesa Field,32952,Pullman,WA,99164,US,"(46.731831,-117.1604991)",773.9526367,582,592,"20,976",1893,3609,48,89,16,80,35,93,62,45,#981e32,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
62,2751,Wyoming,WYO,Wyoming,Cowboys,Wyoming Cowboys,fbs,17,Mountain West,,3984,War Memorial Stadium,29181,Laramie,WY,82071,US,"(41.31161,-105.5681384)",2200.153564,570,609,"11,100",1893,4518,29,108,1,91,28,125,63,5,#492f24,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
63,8,Arkansas,ARK,Arkansas,Razorbacks,Arkansas Razorbacks,fbs,8,SEC,,3887,Razorback Stadium,80000,Fayetteville,AR,72702,US,"(36.0680662,-94.1789534)",403.7972412,749,546,"32,140",1894,2934,118,19,20,25,57,52,64,100,#a41f35,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
64,2084,Buffalo,BUF,Buffalo,Bulls,Buffalo Bulls,fbs,15,Mid-American,,3965,UB Stadium,30270,Amherst,NY,14260,US,"(42.9991334,-78.7775113)",181.5759735,419,562,"30,380",1894,3551,40,97,73,118,49,55,65,50,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
65,195,Ohio,OHIO,Ohio,Bobcats,Ohio Bobcats,fbs,15,Mid-American,,3876,Peden Stadium,24000,Athens,OH,45701,US,"(39.3212794,-82.1034315)",194.230896,615,589,"20,749",1894,2620,14,121,68,69,36,95,66,121,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
66,2483,Oregon,ORE,Oregon,Ducks,Oregon Ducks,fbs,5,Big Ten,,3626,Autzen Stadium,54000,Eugene,OR,97401,US,"(44.0582712,-123.0684883)",127.4198303,721,512,"23,202",1894,3889,88,49,89,35,68,83,67,24,#007030,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
67,218,Temple,TEM,Temple,Owls,Temple Owls,fbs,151,American Athletic,,3806,Lincoln Financial Field,69879,Philadelphia,PA,19122,US,"(39.9007995,-75.1675414)",3.198706865,499,627,"33,196",1894,2957,112,25,132,108,21,49,68,98,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
